label,zone_id,proj_type,quantity,in_tc,in_tr,mitigations,status,py_proposed_vmt,r_proposed_vmt,py_redev_vmt,r_redev_vmt,py_net_vmt,r_net_vmt,py_sos,r_sos,py_screened,r_screened,py_mob_fee,r_mob_fee,py_mit_factor,r_mit_factor
Res Market-Rate 10du Zone12 TC+TR,Zone 12,Residential (Market-Rate),10.0,True,True,,PASS,237.24,237.24,0.0,0,237.24,237.24,213.0,213,Yes,Yes,50661.12,50661.12,1.0,1
Res Affordable 20du Zone12 TC+TR (transit screen),Zone 12,Residential (Affordable),20.0,True,True,,PASS,427.02,427.02,0.0,0,427.02,427.02,425.0,425,Yes,Yes,91275.52,91275.52,1.0,1
Res Market-Rate 200du Zone5 no-TC no-TR (large),Zone 5,Residential (Market-Rate),200.0,False,False,,PASS,11918.6,11918.6,0.0,0,11918.6,11918.6,6673.0,6673,No,No,2547805.44,2547805.44,1.0,1
Res Market-Rate 50du Zone5 TC no-TR,Zone 5,Residential (Market-Rate),50.0,True,False,,PASS,2979.65,2979.65,0.0,0,2979.65,2979.65,1668.0,1668,No,No,637004.8,637004.8,1.0,1
Hotel 30 TAU Zone12 TC,Zone 12,Hotel,30.0,True,True,,PASS,984.95,984.95,0.0,0,984.95,984.95,868.0,868,Yes,Yes,210553.6,210553.6,1.0,1
Hotel 120 TAU Zone5 no-TC (large),Zone 5,Hotel,120.0,False,False,,PASS,13466.66,13466.66,0.0,0,13466.66,13466.66,5452.0,5452,No,No,2878705.92,2878705.92,1.0,1
Timeshare 50 TAU Zone12,Zone 12,Timeshare,50.0,True,True,,PASS,1773.08,1773.08,0.0,0,1773.08,1773.08,1562.0,1562,No,No,378996.48,378996.48,1.0,1
General retail 1000 sqft Zone12,Zone 12,General retail,1000.0,True,True,,PASS,152.08,152.08,0.0,0,152.08,152.08,0.0,0,Yes,Yes,3610.0,3610,1.0,1
General retail 20000 sqft Zone5 no-TC,Zone 5,General retail,20000.0,False,False,,PASS,10396.35,10396.35,0.0,0,10396.35,10396.35,0.0,0,No,No,246905.0,246905,1.0,1
Fast Food Restaurant 3000 sqft Zone5,Zone 5,Fast Food Restaurant,3000.0,False,False,,PASS,18981.84,18981.84,0.0,0,18981.84,18981.84,0.0,0,No,No,450822.5,450822.5,1.0,1
Supermarket 25000 sqft Zone5,Zone 5,Supermarket,25000.0,False,False,,PASS,32950.33,32950.33,0.0,0,32950.33,32950.33,0.0,0,No,No,782562.5,782562.5,1.0,1
General Office 10000 sqft Zone12,Zone 12,"General Office Building (GFA of more than 5,000 sf)",10000.0,True,True,,PASS,445.43,445.43,0.0,0,445.43,445.43,0.0,0,Yes,Yes,10568.75,10568.75,1.0,1
Library 2000 sqft Zone12,Zone 12,Library,2000.0,True,True,,PASS,592.12,592.12,0.0,0,592.12,592.12,522.0,522,Yes,Yes,14060.0,14060,1.0,1
Church 5000 sqft Zone5,Zone 5,Church,5000.0,False,False,,PASS,533.72,533.72,0.0,0,533.72,533.72,216.0,216,Yes,Yes,12682.5,12682.5,1.0,1
Hospital 50000 sqft Zone5,Zone 5,Hospital,50000.0,False,False,,PASS,7563.41,7563.41,0.0,0,7563.41,7563.41,3062.0,3062,No,No,179621.25,179621.25,1.0,1
Elementary School 300 students Zone5,Zone 5,Elementary School,300.0,False,False,,PASS,9564.87,9564.87,0.0,0,9564.87,9564.87,3873.0,3873,No,No,227168.75,227168.75,1.0,1
High School 800 students Zone5,Zone 5,High School,800.0,False,False,,PASS,21798.34,21798.34,0.0,0,21798.34,21798.34,8825.0,8825,No,No,517702.5,517702.5,1.0,1
Golf Course 18 holes Zone5,Zone 5,Golf Course,18.0,False,False,,PASS,7680.55,7680.55,0.0,0,7680.55,7680.55,0.0,0,No,No,182423.75,182423.75,1.0,1
Marina 50 berths Zone12,Zone 12,Marina,50.0,True,True,,PASS,495.15,495.15,0.0,0,495.15,495.15,0.0,0,Yes,Yes,11756.25,11756.25,1.0,1
Bowling Alley 16 lanes Zone5,Zone 5,Bowling Alley,16.0,False,False,,PASS,332.59,332.59,0.0,0,332.59,332.59,0.0,0,Yes,Yes,7908.75,7908.75,1.0,1
Unique 100 units rate=5 Zone12,Zone 12,Unique Project Type,100.0,True,True,,PASS,2054.55,2054.55,0.0,0,2054.55,2054.55,0.0,0,No,No,48806.25,48806.25,1.0,1
Res MR 100du Traffic Calming Zone12,Zone 12,Residential (Market-Rate),100.0,True,True,Traffic Calming,PASS,2372.36,2372.36,0.0,0,2348.64,2348.64,2126.0,2126,No,No,502122.24,502122.24,0.99,0.99
Hotel 100 TAU Employee Shuttle 30% Zone5,Zone 5,Hotel,100.0,False,False,Employee Shuttle,PASS,11222.21,11222.21,0.0,0,11053.88,11053.88,4544.0,4544,No,No,2362903.04,2362903.04,0.985,0.985
Hotel 100 TAU Employee+Private Shuttle 50% Zone5,Zone 5,Hotel,100.0,False,False,Employee Shuttle;Private Shuttle,PASS,11222.21,11222.21,0.0,0,10668.12,10668.12,4544.0,4544,No,No,2280391.68,2280391.68,0.950625,0.9506
Office 20ksf CTR-Required 60% emp 80% elig Zone5,Zone 5,"General Office Building (GFA of more than 5,000 sf)",20000.0,False,False,Employee Shuttle;Implement CTR Program -  Required Implementation/Monitoring,PASS,3045.03,3045.03,0.0,0,2655.95,2655.95,0.0,0,No,No,63080.0,63080,0.872224,0.8722
Retail 10ksf Unbundle+TrafficCalm Zone12,Zone 12,General retail,10000.0,True,True,Unbundle Parking Costs from Property Cost;Traffic Calming,PASS,1520.78,1520.78,0.0,0,1466.42,1466.42,0.0,0,No,No,34817.5,34817.5,0.96426,0.9643
Retail 10ksf replacing 5ksf Zone12,Zone 12,General retail,10000.0,True,True,,PASS,1520.78,1520.78,760.39,760.39,760.39,760.39,0.0,0,Yes,Yes,18050.0,18050,1.0,1
Res MR 20du replacing 10du Zone5,Zone 5,Residential (Market-Rate),20.0,False,False,,PASS,1191.86,1191.86,595.93,595.93,595.93,595.93,667.0,667,Yes,Yes,127400.96,127400.96,1.0,1
APN 026-102-024 Res MR 5du,Zone 12,Residential (Market-Rate),5.0,True,True,,PASS,118.62,118.62,0.0,0,118.62,118.62,106.0,106,Yes,Yes,25437.44,25437.44,1.0,1
APN 026-102-024 Hotel 20 TAU,Zone 12,Hotel,20.0,True,True,,PASS,656.63,656.63,0.0,0,656.63,656.63,579.0,579,Yes,Yes,140440.32,140440.32,1.0,1
